,id,manufacturer,company_location,year_reviewed,bar_name,cocoa_percent,rating
30,2206,A. Morin,France,2018,Porcelana,70.0,3.5
31,2206,A. Morin,France,2018,Absolu,63.0,3.75
32,2648,A. Morin,France,2021,La Joya,70.0,4.0
33,1462,Acalli,U.S.A.,2015,"Chulucanas, El Platanal, batch 001",70.0,3.75
34,1470,Acalli,U.S.A.,2015,"Tumbes, Norandino",70.0,3.75
35,2462,Acalli,U.S.A.,2020,"Teapa, Tabasco, batch 2",74.0,3.25
36,2470,Acalli,U.S.A.,2020,"Barataria, El Plantal and Norandino Tumbes blend",70.0,3.5
37,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Vanua Levu,60.0,2.75
38,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,"Vanua Levu, Toto-A",80.0,3.25
39,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Vanua Levu,88.0,3.5
40,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,"Vanua Levu, Ami-Ami-CA",72.0,3.5
41,2438,Aelan,Vanuatu,2019,"Malekula Island, batch M10/19",70.0,2.5
42,2438,Aelan,Vanuatu,2019,"Malo Island, batch Ma20/19",70.0,2.75
43,2442,Aelan,Vanuatu,2019,"Santo Island, batch S15/19",70.0,2.75
44,2438,Aelan,Vanuatu,2019,"EPI Island, batch E 11/19",70.0,3.0
45,370,Aequare (Gianduja),Ecuador,2009,"Los Rios, Quevedo, Arriba",55.0,2.75
46,370,Aequare (Gianduja),Ecuador,2009,"Los Rios, Quevedo, Arriba",70.0,3.0
47,316,Ah Cacao,Mexico,2009,Tabasco,70.0,3.0
48,502,Akesson's (Pralus),U.K.,2010,"Madagascar, Ambolikapiky P.",75.0,2.75
49,508,Akesson's (Pralus),U.K.,2010,"Monte Alegre, D. Badero",75.0,2.75
50,636,Akesson's (Pralus),U.K.,2011,"Bali (west), Sukrama Family, Melaya area",75.0,3.75
51,1061,Alain Ducasse,France,2013,Chuao,75.0,2.5
52,1173,Alain Ducasse,France,2013,"Piura, Perou",75.0,2.5
53,1215,Alain Ducasse,France,2014,Trinite,65.0,2.75
54,1215,Alain Ducasse,France,2014,Vietnam,75.0,2.75
55,1215,Alain Ducasse,France,2014,Madagascar,75.0,3.0
56,1992,Alain Ducasse,France,2017,"Porcelana, Mexique",75.0,3.5
57,1944,Alexandre,Netherlands,2017,"Winak Coop, Napo",70.0,3.5
58,1944,Alexandre,Netherlands,2017,"La Dalia, Matagalpa",70.0,3.5
59,1944,Alexandre,Netherlands,2017,"Makwale Village, Kyela",70.0,3.5
60,1944,Alexandre,Netherlands,2017,Tien Giang,70.0,3.5
61,1125,Altus aka Cao Artisan,U.S.A.,2013,Sur del Lago,60.0,2.5
62,1125,Altus aka Cao Artisan,U.S.A.,2013,"Conacado, batch 130",60.0,3.0
63,1133,Altus aka Cao Artisan,U.S.A.,2013,"Bolivia, batch 154",60.0,3.0
64,1129,Altus aka Cao Artisan,U.S.A.,2013,"Bolivia, batch 101",80.0,3.25
65,1133,Altus aka Cao Artisan,U.S.A.,2013,"Peru, batch 148",60.0,3.25
66,1732,Altus aka Cao Artisan,U.S.A.,2016,CIAAB Coop,60.0,2.5
67,1732,Altus aka Cao Artisan,U.S.A.,2016,Villa Andina,60.0,2.5
68,1728,Altus aka Cao Artisan,U.S.A.,2016,Momotombo,60.0,2.75
69,1732,Altus aka Cao Artisan,U.S.A.,2016,Gruppo Salinas,60.0,2.75
70,1728,Altus aka Cao Artisan,U.S.A.,2016,Acopagro,60.0,3.0
71,2044,Altus aka Cao Artisan,U.S.A.,2018,Oko Caribe,70.0,3.0
72,147,Amano,U.S.A.,2007,Cuyagua,70.0,3.0
73,129,Amano,U.S.A.,2007,Madagascar,70.0,3.5
74,175,Amano,U.S.A.,2007,Ocumare,70.0,3.75
75,304,Amano,U.S.A.,2008,"Bali, Jembrana",70.0,2.75
76,363,Amano,U.S.A.,2009,Montanya,70.0,3.0
77,544,Amano,U.S.A.,2010,Chuao,70.0,3.0
78,470,Amano,U.S.A.,2010,Dos Rios,70.0,3.75
79,470,Amano,U.S.A.,2010,Guayas,70.0,4.0
80,725,Amano,U.S.A.,2011,Morobe,70.0,4.0
81,327,Amatller (Simon Coll),Spain,2009,Ecuador,70.0,2.75
82,464,Amatller (Simon Coll),Spain,2009,Ecuador,85.0,2.75
83,322,Amatller (Simon Coll),Spain,2009,Ghana,70.0,3.0
84,464,Amatller (Simon Coll),Spain,2009,Ghana,85.0,3.0
85,1964,Amazing Cacao,Russia,2017,Maranon,70.0,3.0
86,1964,Amazing Cacao,Russia,2017,Platan Bajo,70.0,3.5
87,1145,Amazona,Peru,2013,"LamasdelChanka, San Martin, Oro Verde coop",72.0,3.25
88,1145,Amazona,Peru,2013,"Bellavista Gran Pajeten, San Martin",73.0,3.5
89,1494,Ambrosia,Canada,2015,Belize,64.0,3.0
90,1494,Ambrosia,Canada,2015,Madagascar,66.0,3.25
91,1498,Ambrosia,Canada,2015,Dominican Republic,75.0,3.25
92,1498,Ambrosia,Canada,2015,Papua New Guinea,63.0,3.25
93,1498,Ambrosia,Canada,2015,Venezuela,70.0,3.25
94,1498,Ambrosia,Canada,2015,Peru,68.0,3.5
95,75,Amedei,Italy,2006,Toscano Black,66.0,3.75
96,123,Amedei,Italy,2007,Ecuador,70.0,3.0
97,123,Amedei,Italy,2007,Jamaica,70.0,3.0
98,123,Amedei,Italy,2007,Grenada,70.0,3.5
99,129,Amedei,Italy,2007,Trinidad,70.0,3.5
100,170,Amedei,Italy,2007,Toscano Black,63.0,3.5
101,123,Amedei,Italy,2007,Venezuela,70.0,3.75
102,979,Amedei,Italy,2012,"Piura, Blanco de Criollo",70.0,3.75
103,2088,Amedei,Italy,2018,Madagascar,70.0,3.0
104,2088,Amedei,Italy,2018,Chuao,70.0,3.0
105,2092,Amedei,Italy,2018,Porcelana,70.0,3.0
106,2092,Amedei,Italy,2018,Nine,75.0,3.5
107,2434,Amedei,Italy,2019,Toscano Black,70.0,2.75
108,572,AMMA,Brazil,2010,"Monte Alegre, 3 diff. plantations",85.0,2.75
109,572,AMMA,Brazil,2010,"Monte Alegre, 3 diff. plantations",50.0,3.75
110,572,AMMA,Brazil,2010,"Monte Alegre, 3 diff. plantations",75.0,3.75
111,572,AMMA,Brazil,2010,"Monte Alegre, 3 diff. plantations",60.0,4.0
112,1065,AMMA,Brazil,2013,Catongo,75.0,3.25
113,1259,Anahata,U.S.A.,2014,Elvesia,75.0,3.0
114,1852,Animas,U.S.A.,2016,Alto Beni,75.0,3.5
115,2586,Animas,U.S.A.,2021,"Maya Mountain, batch 39",75.0,3.0
116,2586,Animas,U.S.A.,2021,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",75.0,3.25
117,1379,Ara,France,2014,Chiapas,72.0,2.5
118,1379,Ara,France,2014,Equateur,75.0,2.75
119,1375,Ara,France,2014,Madagascar,75.0,3.0
120,1379,Ara,France,2014,Trincheras,75.0,3.0
121,1602,Arete,U.S.A.,2015,Fazenda Camboa,75.0,2.75
122,1602,Arete,U.S.A.,2015,Guatemala,70.0,3.25
123,1534,Arete,U.S.A.,2015,Fazenda Camboa,70.0,3.5
124,1534,Arete,U.S.A.,2015,Nacional,68.0,3.5
125,1598,Arete,U.S.A.,2015,Oko Caribe,70.0,3.5
126,1602,Arete,U.S.A.,2015,Camino Verde,75.0,3.5
127,1534,Arete,U.S.A.,2015,"Puerto Quito, heirloom",70.0,3.75
128,1598,Arete,U.S.A.,2015,Maya Mountain,70.0,3.75
129,1598,Arete,U.S.A.,2015,Chuno,70.0,4.0
130,1904,Arete,U.S.A.,2016,Hacienda Victoria,70.0,3.25
131,1904,Arete,U.S.A.,2016,Costa Esmeraldas,70.0,3.25
132,1928,Arete,U.S.A.,2016,Matasawalevu,70.0,3.25
133,1928,Arete,U.S.A.,2016,Lam Dong,73.0,3.25
134,1724,Arete,U.S.A.,2016,San Juan,70.0,3.5
135,1900,Arete,U.S.A.,2016,Tien Giang,73.0,3.5
136,1904,Arete,U.S.A.,2016,Lachua,70.0,3.5
137,1908,Arete,U.S.A.,2016,"La Masica, FHIA",70.0,3.5
138,1724,Arete,U.S.A.,2016,Kokoa Kamili,70.0,3.75
139,1904,Arete,U.S.A.,2016,Rugoso,70.0,3.75
140,1928,Arete,U.S.A.,2016,Elvesia,70.0,3.75
141,1908,Arete,U.S.A.,2016,"Coto Brus, Terciopelo",70.0,4.0
142,1924,Arete,U.S.A.,2016,Phantom,70.0,4.0
143,2020,Arete,U.S.A.,2017,Anamalai,70.0,3.5
144,2020,Arete,U.S.A.,2017,Sambirano Valley,70.0,3.5
145,2020,Arete,U.S.A.,2017,Ben Tre,73.0,3.5
146,2028,Arete,U.S.A.,2017,Ucayali,70.0,3.5
147,2024,Arete,U.S.A.,2017,Beniano,70.0,4.0
148,2028,Arete,U.S.A.,2017,Pisa,70.0,4.0
149,2068,Arete,U.S.A.,2018,Ramnath E.,70.0,3.0
150,2254,Arete,U.S.A.,2018,Tumaco,70.0,4.0
151,2450,Arete,U.S.A.,2019,Idukki,70.0,3.0
152,2330,Arete,U.S.A.,2019,Jangareddygudem,70.0,3.25
153,2166,Argencove,Nicaragua,2018,Apoyo,70.0,3.0
154,2162,Argencove,Nicaragua,2018,Masaya,70.0,3.25
155,2162,Argencove,Nicaragua,2018,Mombacho,70.0,3.5
156,2162,Argencove,Nicaragua,2018,Cocibolca,70.0,3.5
157,300,Artisan du Chocolat,U.K.,2008,Congo,72.0,3.75
158,363,Artisan du Chocolat,U.K.,2009,Brazil Rio Doce,72.0,1.75
159,355,Artisan du Chocolat,U.K.,2009,"Ocumare, Venezuela",75.0,2.5
160,355,Artisan du Chocolat,U.K.,2009,Java,72.0,2.75
161,363,Artisan du Chocolat,U.K.,2009,Madagascar,80.0,3.0
162,363,Artisan du Chocolat,U.K.,2009,Peru,75.0,3.0
163,363,Artisan du Chocolat,U.K.,2009,Dominican Republic,72.0,3.25
164,486,Artisan du Chocolat,U.K.,2010,Venezuela,100.0,1.75
165,600,Artisan du Chocolat,U.K.,2010,Costa Rica,72.0,3.25
166,600,Artisan du Chocolat,U.K.,2010,Ba Ria Vung Tau Province,72.0,3.25
167,600,Artisan du Chocolat,U.K.,2010,Bali,72.0,3.5
168,531,Artisan du Chocolat,U.K.,2010,Jamaica,72.0,3.75
169,745,Artisan du Chocolat,U.K.,2011,Panama,72.0,2.75
170,729,Artisan du Chocolat,U.K.,2011,Haiti,72.0,4.0
171,947,Artisan du Chocolat,U.K.,2012,"Colombia, Casa Luker",72.0,3.75
172,1193,Artisan du Chocolat,U.K.,2013,"Trinidad, Heritage, Limited ed.",72.0,3.25
173,1181,Artisan du Chocolat (Casa Luker),U.K.,2013,"Orinoqua Region, Arauca",72.0,2.75
174,2562,Aruntam,Italy,2021,"Idukki Kerala, lot IN728221",72.0,3.25
175,2562,Aruntam,Italy,2021,"Bejofo E., Akesson, lot MA72820",72.0,3.25
176,2566,Aruntam,Italy,2021,"Kokoa Kamili, lot TZ72199",72.0,3.5
177,141,Askinosie,U.S.A.,2007,Xoconusco,75.0,2.5
178,175,Askinosie,U.S.A.,2007,San Jose del Tambo,70.0,3.0
179,331,Askinosie,U.S.A.,2009,Davao,77.0,3.75
180,647,Askinosie,U.S.A.,2011,"Tenende, Uwate",72.0,3.75
181,661,Askinosie,U.S.A.,2011,Cortes,70.0,3.75
182,1780,Askinosie,U.S.A.,2016,Mababa,68.0,3.75
183,2434,Atypic,Australia,2019,Solomon Islands,70.0,3.0
184,2056,Auro,Philippines,2018,Davao,77.0,2.75
185,2056,Auro,Philippines,2018,"Paquibao E., 2016",70.0,3.0
186,2056,Auro,Philippines,2018,South Cotabato,70.0,3.0
187,2056,Auro,Philippines,2018,"Saloy E., 2016",70.0,3.5
188,2672,Avanaa,Canada,2021,Tumaco,70.0,2.5
189,2672,Avanaa,Canada,2021,Zorzal,70.0,3.0
190,999,Bahen & Co.,Australia,2012,Bahia,70.0,2.5
191,999,Bahen & Co.,Australia,2012,Houseblend,70.0,2.5
192,995,Bahen & Co.,Australia,2012,Sambirano,70.0,3.0
193,1474,Bahen & Co.,Australia,2015,Houseblend,80.0,3.25
194,1474,Bahen & Co.,Australia,2015,Papua New Guinea,70.0,3.5
195,2146,Baiani,Brazil,2018,"Bahia, Vale Potumujo",70.0,3.0
196,1454,Bakau,Peru,2015,"Bambamarca, 2015",70.0,2.75
197,1454,Bakau,Peru,2015,"Huallabamba, 2015",70.0,3.5
198,2290,Bankston,U.S.A.,2019,Belize,72.0,2.5
199,2294,Bankston,U.S.A.,2019,Uganda,82.0,2.75
200,2294,Bankston,U.S.A.,2019,Kokoa Kamili,72.0,3.25
201,983,Bar Au Chocolat,U.S.A.,2012,Duarte Province,70.0,3.25
202,983,Bar Au Chocolat,U.S.A.,2012,Chiapas,70.0,3.5
203,983,Bar Au Chocolat,U.S.A.,2012,Sambirano,70.0,3.75
204,1295,Bar Au Chocolat,U.S.A.,2014,Maranon Canyon,70.0,4.0
205,1554,Bar Au Chocolat,U.S.A.,2015,Bahia,70.0,3.5
206,1980,Bar Au Chocolat,U.S.A.,2017,"Turrialba, Cartago P.",72.0,3.5
207,1980,Bar Au Chocolat,U.S.A.,2017,Montserrat Hills,80.0,3.5
208,955,Baravelli's,Wales,2012,single estate,80.0,2.75
209,1880,Batch,U.S.A.,2016,Ecuador,65.0,3.25
210,1840,Batch,U.S.A.,2016,"Dominican Republic, Batch 3",65.0,3.5
211,1868,Batch,U.S.A.,2016,Brazil,70.0,3.75
212,2374,Bean,U.K.,2019,Peru,70.0,2.25
213,1948,Beau Cacao,U.K.,2017,"Asajaya E, NW Borneo, b. #132/4500",73.0,3.0
214,1948,Beau Cacao,U.K.,2017,"Serian E., NW Borneo, b. #134/3800",72.0,3.25
215,1784,Beehive,U.S.A.,2016,"Brazil, Batch 20316",80.0,2.75
216,1784,Beehive,U.S.A.,2016,"Dominican Republic, Batch 31616",70.0,2.75
217,1784,Beehive,U.S.A.,2016,"Ecuador, Batch 31516",70.0,2.75
218,1788,Beehive,U.S.A.,2016,Ecuador,90.0,2.75
219,586,Belcolade,Belgium,2010,Costa Rica,64.0,2.75
220,586,Belcolade,Belgium,2010,Papua New Guinea,64.0,2.75
221,586,Belcolade,Belgium,2010,Peru,64.0,2.75
222,586,Belcolade,Belgium,2010,Ecuador,71.0,3.5
223,1804,Bellflower,U.S.A.,2016,"Alto Beni, Palos Blanco",70.0,3.25
224,1800,Bellflower,U.S.A.,2016,"Kokao Kamili, Kilombero Valley",70.0,3.5
225,1864,Bellflower,U.S.A.,2016,"Oko Caribe, Duarte P.",70.0,3.5
226,2190,Belvie,Vietnam,2018,Lam Dong,75.0,3.25
227,2648,Belvie,Vietnam,2021,"Ben Tre, batch 70301",70.0,3.75
228,1768,Belyzium,Germany,2016,"Belize south, low fermentation",83.0,2.75
229,1768,Belyzium,Germany,2016,Belize south,78.0,3.0
230,1768,Belyzium,Germany,2016,Belize south,83.0,3.5
231,2246,Benns,Singapore,2018,Vung Tau,72.0,3.0
232,2246,Benns,Singapore,2018,"Anamalai, 2018 harvest",72.0,3.0
233,2246,Benns,Singapore,2018,"Sungai Ruan, Koh Farm",72.0,3.0
234,773,Benoit Nihant,Belgium,2011,"Somia Plantation, Sambirano, 70hr C",72.0,3.75
235,757,Benoit Nihant,Belgium,2011,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",72.0,4.0
236,1141,Benoit Nihant,Belgium,2013,Baracoa,74.0,3.5
237,1141,Benoit Nihant,Belgium,2013,Cuyagua Village,74.0,3.5
238,1141,Benoit Nihant,Belgium,2013,Chuao,74.0,3.5
239,1141,Benoit Nihant,Belgium,2013,Rio Peripa H.,73.0,4.0
240,797,Bernachon,France,2012,Nature,55.0,2.75
241,508,Beschle (Felchlin),Switzerland,2010,"Carenero S., Barlovento, Grand Cru",70.0,3.25
242,508,Beschle (Felchlin),Switzerland,2010,"Porcelana, Premier Cru, Quizas No. 1",74.0,3.25
243,508,Beschle (Felchlin),Switzerland,2010,"Java, Grand Cru",64.0,3.5
244,508,Beschle (Felchlin),Switzerland,2010,"Ocumare, Premier Cru, Quizas No. 2",72.0,3.5
245,636,Beschle (Felchlin),Switzerland,2011,Madagascar,64.0,3.0
246,636,Beschle (Felchlin),Switzerland,2011,Maracaibo,88.0,3.0
247,636,Beschle (Felchlin),Switzerland,2011,"Indigena Amazonia, Grand Cru, Quizas",72.0,3.5
248,636,Beschle (Felchlin),Switzerland,2011,Ecuador,72.0,4.0
249,1482,Bisou,U.S.A.,2015,"Nicaragua, American style",76.0,2.5
250,1486,Bisou,U.S.A.,2015,"San Andres, American style",76.0,2.5
251,1486,Bisou,U.S.A.,2015,"San Andres, silk",78.0,2.5
252,1486,Bisou,U.S.A.,2015,Belize,86.0,3.25
253,2088,Bitacora,Venezuela,2018,Merida,70.0,3.0
254,2088,Bitacora,Venezuela,2018,Carabobo,70.0,3.0
255,2084,Bitacora,Venezuela,2018,Aragua,70.0,3.5
256,233,Bittersweet Origins,U.S.A.,2008,Sambirano,71.0,3.0
257,256,Bittersweet Origins,U.S.A.,2008,Ankasa,70.0,3.0
258,233,Bittersweet Origins,U.S.A.,2008,Bocas del Toro,75.0,3.5
259,233,Bittersweet Origins,U.S.A.,2008,Puerto Plata,68.0,3.75
260,414,Bittersweet Origins,U.S.A.,2009,Puerto Plata,75.0,3.0
261,423,Bittersweet Origins,U.S.A.,2009,Sambirano,75.0,3.25
262,414,Bittersweet Origins,U.S.A.,2009,Puerto Plata,65.0,3.5
263,431,Bittersweet Origins,U.S.A.,2009,Sambirano,65.0,3.5
264,558,Bittersweet Origins,U.S.A.,2010,"Bali, Singaraja",65.0,2.75
265,565,Bittersweet Origins,U.S.A.,2010,"Sambirano, 2009",70.0,3.0
266,565,Bittersweet Origins,U.S.A.,2010,"Ocumare, prototype",78.0,3.0
267,478,Bittersweet Origins,U.S.A.,2010,"Bali, Singaraja",75.0,3.25
268,502,Bittersweet Origins,U.S.A.,2010,"2009 Hapa Nibby, Dominican Rep., Bali",70.0,3.75
269,963,Bittersweet Origins,U.S.A.,2012,Ghana,72.0,3.5
270,2108,Bixby,U.S.A.,2018,Haiti,70.0,3.0
271,2114,Bixby,U.S.A.,2018,Guatemala,70.0,3.0
272,2114,Bixby,U.S.A.,2018,Dominican Republic,70.0,3.25
273,2422,Bixby,U.S.A.,2019,Belize,70.0,2.75
274,256,Black Mountain,U.S.A.,2008,La Red,70.0,2.75
275,256,Black Mountain,U.S.A.,2008,Carenero Superior,70.0,2.75
276,256,Black Mountain,U.S.A.,2008,Matiguas,70.0,3.0
277,2574,Black Mountain,U.S.A.,2021,"""Cocoa Nibs"", Hispaniola w/ nibs",70.0,3.75
278,1331,Black River (A. Morin),U.K.,2014,Blue Mountain Region,70.0,2.75
279,2590,Black Sheep,U.S.A.,2021,"Sierra Nevada, batch 92",72.0,3.25
280,2590,Black Sheep,U.S.A.,2021,"Maya Mountain, batch 98",72.0,3.25
281,322,Blanxart,Spain,2009,Organic Dark,72.0,2.75
282,1046,Blanxart,Spain,2013,"Congo, Grand Cru",82.0,3.5
283,911,Blue Bandana,U.S.A.,2012,Guatemala,70.0,3.5
284,911,Blue Bandana,U.S.A.,2012,Madagascar,70.0,3.75
285,1752,Blue Bandana,U.S.A.,2016,Lachua,75.0,2.75
286,1756,Blue Bandana,U.S.A.,2016,Zorzal Reserva,75.0,3.0
287,1740,Blue Bandana,U.S.A.,2016,"Akesson's E., Sambirano V.",82.0,3.5
288,1752,Blue Bandana,U.S.A.,2016,Kokoa Kamili,75.0,3.5
289,1996,Boho,U.S.A.,2017,Maya Mtn,70.0,2.75
290,2290,Bonaterra,Malaysia,2019,"Keningau, Borneo Island",68.0,2.5
291,2290,Bonaterra,Malaysia,2019,"Kota Marudu, Borneo Island",72.0,2.75
292,2290,Bonaterra,Malaysia,2019,"Tawau, Borneo Island",74.0,3.25
293,81,Bonnat,France,2006,One Hundred,100.0,1.5
294,81,Bonnat,France,2006,Ceylan,75.0,3.0
295,24,Bonnat,France,2006,"Carribean, Trinite",75.0,3.75
296,32,Bonnat,France,2006,"Ocumare, Puerto Cabello",75.0,3.75
297,75,Bonnat,France,2006,Madagascar,75.0,3.75
298,48,Bonnat,France,2006,"Maracaibo, El Rosario",75.0,4.0
299,81,Bonnat,France,2006,Chuao,75.0,4.0
300,123,Bonnat,France,2007,Equateur,75.0,2.5
301,199,Bonnat,France,2008,"Porcelana, Venezuela",75.0,4.0
302,336,Bonnat,France,2009,"Porcelana, Apotequil",75.0,2.75
303,331,Bonnat,France,2009,Ivory Coast,75.0,3.0
304,336,Bonnat,France,2009,"Porcelana, Tabasco, Marfil de Blanco",75.0,3.0
305,395,Bonnat,France,2009,"Xoconusco, cacao Real",75.0,3.0
306,761,Bonnat,France,2011,Jamaique,75.0,3.25
307,629,Bonnat,France,2011,Cuba,75.0,3.5
308,629,Bonnat,France,2011,"Cusco, Cacao Cusco",75.0,3.5
309,629,Bonnat,France,2011,Piura Blanco,75.0,3.5
310,672,Bonnat,France,2011,Juliana,75.0,3.5
311,629,Bonnat,France,2011,Libanio,75.0,3.75
312,629,Bonnat,France,2011,Haiti,75.0,4.0
313,629,Bonnat,France,2011,"Madagascar, 100% criollo",75.0,4.0
314,1042,Bonnat,France,2013,Gabon,75.0,3.25
315,1038,Bonnat,France,2013,Maragnam,75.0,3.5
316,1418,Bonnat,France,2014,"Los Colorados, Santo Domingo, Equateur",75.0,3.25
317,1418,Bonnat,France,2014,"Surfin, Venez,Africa,Brasil,Peru,Mex",65.0,3.75
318,1339,Bonnat,France,2014,Kaori,75.0,4.0
319,1912,Bonnat,France,2016,Selva Maya,75.0,3.5
320,2246,Bonnat,France,2018,Madre de Dios,75.0,4.0
321,2250,Bonnat,France,2018,"El Rosario, Xoconuzco, Cusco, Sambirano",75.0,4.0
322,2554,Bonnat,France,2021,"El Castillero, Indio Maiz",75.0,3.75
323,341,Bouga Cacao (Tulicorp),Ecuador,2009,"El Oro, Hacienda de Oro",100.0,1.5
324,316,Bouga Cacao (Tulicorp),Ecuador,2009,"El Oro, Hacienda de Oro",77.0,3.25
325,1267,Bowler Man,U.S.A.,2014,Maya Mountain,70.0,2.75
326,1271,Bowler Man,U.S.A.,2014,Conacado,70.0,2.75
327,2254,Brasstown,U.S.A.,2018,Esmeraldas,75.0,3.5
328,2194,Brasstown,U.S.A.,2018,Ucayali,70.0,3.75
329,2096,Brasstown,U.S.A.,2018,"Wild Bolivia, Sucre",70.0,4.0
330,2542,Brasstown,U.S.A.,2021,Kokoa Kamili,62.0,3.0
331,1125,Brasstown aka It's Chocolate,U.S.A.,2013,Cooproagro,72.0,3.0
332,1125,Brasstown aka It's Chocolate,U.S.A.,2013,"Camino Verde, Guayas",70.0,3.25
333,1129,Brasstown aka It's Chocolate,U.S.A.,2013,"Ghana, batch 021813",75.0,3.5
334,1129,Brasstown aka It's Chocolate,U.S.A.,2013,"Chuao, Mantuano blend, batch 23613",85.0,3.5
335,1255,Brasstown aka It's Chocolate,U.S.A.,2014,Maya Mountain,70.0,3.75
336,1355,Brasstown aka It's Chocolate,U.S.A.,2014,Chuao,70.0,4.0
337,1462,Brasstown aka It's Chocolate,U.S.A.,2015,"Conacado, batch 001515",68.0,3.75
338,1868,Brasstown aka It's Chocolate,U.S.A.,2016,"Guasare, Zulia Prov.",70.0,3.5
339,1868,Brasstown aka It's Chocolate,U.S.A.,2016,"O'payo, Waslala",70.0,3.75
340,1980,Brasstown aka It's Chocolate,U.S.A.,2017,Elvesia P.,70.0,3.25
341,1984,Brasstown aka It's Chocolate,U.S.A.,2017,Manabi,75.0,3.75
342,1518,Brazen,U.S.A.,2015,Ambolikapiky P.,80.0,2.75
343,1514,Brazen,U.S.A.,2015,Elvesia P.,60.0,3.0
344,1514,Brazen,U.S.A.,2015,Elvesia P.,80.0,3.25
345,1518,Brazen,U.S.A.,2015,Maya Mountain,80.0,3.25
346,1518,Brazen,U.S.A.,2015,Ambolikapkly P.,60.0,3.25
347,1514,Brazen,U.S.A.,2015,"Alta Verapaz, 2014, batch 69",70.0,3.5
348,1149,Breeze Mill,U.S.A.,2013,Jamaica,70.0,3.0
349,1235,Bright,Australia,2014,Gran Couva,68.0,2.75
350,1231,Bright,Australia,2014,Somia Plantation,72.0,3.0
351,1231,Bright,Australia,2014,Marabel Farms,70.0,3.5
352,1231,Bright,Australia,2014,"Camino Verde, Balao, Guayas",72.0,3.5
353,1638,Britarev,Russia,2015,Ecuador,70.0,3.25
354,1181,Bronx Grrl Chocolate,U.S.A.,2013,Dominican Republic,68.0,2.75
355,2052,Bullion,U.K.,2018,"Alto Beni, No.2, Batch 17, 2016",70.0,2.5
356,2052,Bullion,U.K.,2018,"Lanquin, No.3, Batch 21, 2016",70.0,3.0
357,1323,Burnt Fork Bend,U.S.A.,2014,"Ecuador, Bob Bar",60.0,2.5
358,1299,Burnt Fork Bend,U.S.A.,2014,"Trinidad, batch 05050114",72.0,3.25
359,1303,Burnt Fork Bend,U.S.A.,2014,Belize,72.0,3.25
360,1303,Burnt Fork Bend,U.S.A.,2014,Blend,72.0,3.25
361,1299,Burnt Fork Bend,U.S.A.,2014,"Mindo, batch 01040914",72.0,3.5
362,2314,By Cacao,South Korea,2019,Ecuador,70.0,3.0
363,2274,Cacai Cacao,Taiwan,2019,Pingtung,70.0,3.25
364,2274,Cacai Cacao,Taiwan,2019,Davao,70.0,3.5
365,2330,Cacao 70,Canada,2019,"Monte Grande, lot 001180312",70.0,3.0
366,2266,Cacao 70,Canada,2019,Asochivite,70.0,3.5
367,2266,Cacao 70,Canada,2019,Beniano,70.0,3.75
